time,BTCUSDT,ETHUSDT,BTCDOWNUSDT,BTCUPUSDT
1669762524.950059,16480.01,1221.47,0.045508,2.696
1669762586.0816145,16479.92,1220.78,0.045508,2.696
1669762645.107838,16487.7,1221.91,0.045564,2.696
1669762705.1656966,16484.12,1221.4,0.045537,2.701
1669762765.128165,16486.55,1222.46,0.045537,2.701
1669762825.125753,16494.61,1223.17,0.045537,2.702
1669762885.182496,16501.04,1223.97,0.045405,2.704
1669762945.217052,16478.45,1220.98,0.045477,2.703
1669763005.845442,16483.0,1221.62,0.045604,2.7
1669763065.1472154,16473.94,1220.61,0.045574,2.699
1669763125.601413,16473.73,1221.1,0.045574,2.699
1669763185.0207295,16467.96,1220.66,0.04558,2.697
1669763245.096382,16473.67,1221.22,0.04558,2.697
1669763305.082204,16474.33,1221.38,0.04558,2.697
1669763365.1202989,16471.17,1221.08,0.04558,2.697
1669763425.0739677,16472.53,1221.35,0.045591,2.701
1669763485.138734,16467.92,1220.92,0.045626,2.701
1669763545.7044165,16472.21,1221.48,0.045643,2.701
1669763605.2483814,16471.36,1221.51,0.045649,2.701
1669763665.8553424,16465.27,1220.46,0.045657,2.697
1669763725.293604,16463.41,1220.36,0.045687,2.694
1669763785.241119,16460.18,1220.08,0.045687,2.694
1669763845.132563,16460.17,1219.53,0.045687,2.694
1669763905.2076545,16458.2,1219.49,0.045687,2.694
1669763965.481254,16465.04,1219.91,0.045687,2.694
1669764025.0281825,16460.86,1219.19,0.045687,2.694
1669764085.756071,16461.59,1219.19,0.045687,2.693
1669764145.103986,16459.99,1219.16,0.045687,2.693
1669764205.8741543,16461.86,1218.65,0.045687,2.693
1669764265.1954403,16459.83,1219.07,0.045687,2.693
1669764325.2302167,16459.04,1218.69,0.045687,2.69
1669764385.1152496,16458.84,1218.53,0.045687,2.69
1669764445.1418028,16456.1,1218.1,0.04565,2.688
1669764505.1276157,16455.79,1218.16,0.045686,2.688
1669764565.093007,16459.42,1218.93,0.045686,2.688
1669764625.8889482,16461.03,1218.71,0.045669,2.688
1669764685.0425756,16455.7,1217.78,0.045669,2.688
1669764746.0173285,16447.62,1217.22,0.045762,2.688
1669764805.1689036,16448.94,1217.04,0.045772,2.688
1669764865.1192305,16449.79,1217.39,0.045732,2.688
1669764925.2151165,16450.08,1216.83,0.045732,2.688
1669764985.2862682,16453.13,1216.95,0.045732,2.688
1669765045.1651094,16454.02,1216.91,0.045732,2.688
1669765105.0409806,16452.45,1216.33,0.045732,2.692
1669765165.624714,16451.29,1216.62,0.045732,2.694
1669765225.2648094,16452.63,1217.13,0.045732,2.694
1669765286.1222968,16455.09,1217.85,0.0457,2.694
1669765345.0781984,16454.24,1217.77,0.0457,2.694
1669765405.58909,16450.28,1217.21,0.0457,2.694
1669765465.0599494,16449.87,1216.63,0.0457,2.694
1669765525.074484,16451.8,1218.35,0.0457,2.692
1669765585.0691018,16453.69,1218.1,0.0457,2.692
1669765645.1349175,16448.41,1217.48,0.0457,2.688
1669765705.471268,16448.02,1217.62,0.0457,2.687
1669765765.3141377,16443.9,1216.88,0.045732,2.685
1669765826.075059,16438.69,1216.28,0.045732,2.687
1669765885.1184423,16440.5,1216.82,0.045732,2.687
1669765945.2637484,16436.44,1216.85,0.045732,2.687
1669766005.1292803,16430.9,1216.09,0.0458,2.684
1669766065.1448553,16436.37,1216.71,0.045796,2.683
1669766125.3190095,16439.32,1216.71,0.045796,2.687
1669766185.2638369,16437.6,1216.32,0.045796,2.687
1669766245.1340098,16437.03,1216.4,0.045732,2.687
1669766305.1827328,16433.25,1216.16,0.045732,2.687
1669766365.8747106,16437.5,1216.55,0.045734,2.687
1669766425.1198435,16442.91,1216.49,0.045795,2.687
1669766485.6011777,16446.09,1216.65,0.045732,2.69
1669766545.1420555,16450.91,1216.89,0.0457,2.69
1669766605.188785,16455.25,1217.58,0.0457,2.69
1669766665.1910808,16459.05,1217.88,0.0457,2.686
1669766725.132619,16460.59,1218.05,0.045671,2.69
1669766785.4382854,16460.52,1218.24,0.045672,2.686
1669766845.1109126,16457.99,1217.82,0.045618,2.687
1669766905.901518,16458.73,1217.6,0.045618,2.687
1669766965.0793912,16455.59,1217.38,0.045618,2.687
1669767025.7787452,16453.97,1217.48,0.045618,2.687
1669767085.2569308,16455.31,1217.84,0.045618,2.687
1669767145.2003076,16445.42,1216.4,0.0457,2.687
1669767205.3517156,16440.71,1215.23,0.0457,2.687
1669767265.2533317,16442.23,1215.43,0.045732,2.687
1669767325.0305324,16436.22,1214.33,0.045747,2.687
1669767385.075136,16434.97,1213.84,0.045797,2.687
1669767445.8894377,16441.23,1215.19,0.045797,2.687
1669767505.134349,16442.66,1215.54,0.045797,2.691
1669767566.0467038,16447.57,1216.49,0.045797,2.691
1669767625.16955,16447.0,1216.02,0.04571,2.691
1669767685.1790175,16451.02,1216.48,0.045671,2.69
1669767745.171075,16452.26,1217.13,0.045748,2.688
1669767805.2302585,16453.35,1217.17,0.045734,2.694
1669767865.3403506,16457.03,1217.87,0.045734,2.694
1669767925.1480043,16455.37,1217.76,0.045734,2.694
1669767986.035983,16458.78,1218.12,0.045734,2.695
1669768045.1705596,16464.41,1219.23,0.045616,2.694
1669768106.0520618,16456.24,1218.65,0.045699,2.684
1669768165.118345,16457.64,1219.08,0.045626,2.688
