Time,Price,Change,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Value
1669824948.139985,16873.93,8.610000000000582,1.0,0.0,1038.3391615386356,0.0,1038.3391615386356
1669825008.1741772,16879.44,5.509999999998399,1.0,0.0,1038.3391615386356,0.0,1038.3391615386356
1669825068.1153314,16877.7,-1.7399999999979627,0.0,1.0,0.0,0.0615213661540752,1038.3391615386356
1669825128.1199353,16866.69,-11.010000000002035,0.0,1.0,0.0,0.0615213661540752,1037.6618112972783
1669825188.0619338,16867.17,0.4799999999995634,1.0,0.0,1037.6913415530323,0.0,1037.6913415530323
1669825248.131046,16859.6,-7.569999999999709,0.0,1.0,0.0,0.0615489893919803,1037.6913415530323
1669825308.0239203,16870.92,11.319999999999707,1.0,0.0,1038.3880761129485,0.0,1038.3880761129485
1669825368.0809891,16865.05,-5.869999999998981,0.0,1.0,0.0,0.0615704119532968,1038.3880761129485
1669825428.0862715,16864.9,-0.1499999999978172,0.0,1.0,0.0,0.0615704119532968,1038.3788405511552
1669825488.1039,16876.47,11.569999999999707,1.0,0.0,1039.091210217455,0.0,1039.091210217455
1669825548.415011,16890.25,13.779999999998836,1.0,0.0,1039.091210217455,0.0,1039.091210217455
1669825608.0960147,16874.29,-15.959999999999129,0.0,1.0,0.0,0.0615783662730375,1039.091210217455
1669825668.1367118,16880.12,5.829999999998108,1.0,0.0,1039.4502120928255,0.0,1039.4502120928255
1669825728.1368158,16883.14,3.020000000000437,1.0,0.0,1039.4502120928255,0.0,1039.4502120928255
1669825788.0947404,16876.38,-6.759999999998399,0.0,1.0,0.0,0.0615920127475694,1039.4502120928255
1669825848.171665,16889.48,13.099999999998545,1.0,0.0,1040.2570674598182,0.0,1040.2570674598182
1669825908.134333,16888.61,-0.8699999999989814,0.0,1.0,0.0,0.0615951855990409,1040.2570674598182
1669825968.1318154,16882.18,-6.430000000000291,0.0,1.0,0.0,0.0615951855990409,1039.8610104164163
1669826028.1854382,16877.24,-4.93999999999869,0.0,1.0,0.0,0.0615951855990409,1039.556730199557
1669826088.373794,16880.09,2.849999999998545,1.0,0.0,1039.7322764785142,0.0,1039.7322764785142
1669826148.0685868,16880.22,0.1300000000010186,1.0,0.0,1039.7322764785142,0.0,1039.7322764785142
1669826208.164703,16875.14,-5.080000000001746,0.0,1.0,0.0,0.0616132533702543,1039.7322764785142
1669826268.1081998,16878.24,3.100000000002183,1.0,0.0,1039.923277563961,0.0,1039.923277563961
1669826328.0591202,16874.91,-3.3300000000017462,0.0,1.0,0.0,0.0616254117837642,1039.923277563961
1669826388.141042,16866.76,-8.150000000001455,0.0,1.0,0.0,0.0616254117837642,1039.4210304579226
1669826448.1799762,16896.56,29.80000000000291,1.0,0.0,1041.2574677290788,0.0,1041.2574677290788
1669826508.160561,16871.94,-24.62000000000262,0.0,1.0,0.0,0.0617153372836247,1041.2574677290788
1669826568.1751091,16874.33,2.390000000003056,1.0,0.0,1041.4049673851869,0.0,1041.4049673851869
1669826628.3025668,16850.1,-24.2300000000032,0.0,1.0,0.0,0.0618040823131724,1041.4049673851869
1669826688.135418,16838.51,-11.590000000000146,0.0,1.0,0.0,0.0618040823131724,1040.6886580711764
1669826748.1446888,16843.45,4.940000000002328,1.0,0.0,1040.9939702378038,0.0,1040.9939702378038
1669826808.1090045,16842.16,-1.2900000000008731,0.0,1.0,0.0,0.0618088161042172,1040.9939702378038
1669826868.087221,16842.56,0.4000000000014552,1.0,0.0,1041.0186937642443,0.0,1041.0186937642443
1669826928.1979563,16851.15,8.590000000000146,1.0,0.0,1041.0186937642443,0.0,1041.0186937642443
1669826988.1840882,16851.99,0.8400000000001455,1.0,0.0,1041.0186937642443,0.0,1041.0186937642443
1669827048.2668812,16853.56,1.569999999999709,1.0,0.0,1041.0186937642443,0.0,1041.0186937642443
1669827108.1635892,16852.83,-0.7299999999995634,0.0,1.0,0.0,0.0617711502319933,1041.0186937642443
1669827168.1901596,16850.21,-2.62000000000262,0.0,1.0,0.0,0.0617711502319933,1040.856853350636
1669827228.1449916,16846.21,-4.0,0.0,1.0,0.0,0.0617711502319933,1040.609768749708
1669827288.0899491,16850.2,3.9900000000016007,1.0,0.0,1040.8562356391335,0.0,1040.8562356391335
1669827348.2015054,16851.31,1.110000000000582,1.0,0.0,1040.8562356391335,0.0,1040.8562356391335
1669827408.1437626,16849.11,-2.200000000000728,0.0,1.0,0.0,0.0617751463216237,1040.8562356391335
1669827468.1771667,16857.69,8.579999999998108,1.0,0.0,1041.3862663945729,0.0,1041.3862663945729
1669827528.213956,16852.95,-4.739999999997963,0.0,1.0,0.0,0.0617925209767176,1041.3862663945729
1669827588.289646,16864.4,11.450000000000728,1.0,0.0,1042.0937907597563,0.0,1042.0937907597563
1669827648.2060435,16857.59,-6.81000000000131,0.0,1.0,0.0,0.0618174834457212,1042.0937907597563
